,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
223,Oakland,34,16,18,0.471,-2.67,-0.95,,11,9,,9,4,,6,11,,70.6,71.6,,40.9,25.3,57.9,0.436,7.5,24.6,0.305,12.6,18.1,0.699,12.1,35.4,12.9,6.56,3,11.9,16
224,Ohio,32,16,16,0.5,-2.63,-4.37,,10,8,,12,3,,3,10,,79.8,76.5,,40.3,28.1,59.8,0.469,8.59,24,0.358,15,19.8,0.761,8.16,33.2,14.1,7.22,2.97,10.9,17.5
225,Ohio State,32,17,15,0.531,17.86,12.58,,9,11,,11,6,,4,7,,78.8,73.5,,40.9,27.4,58.9,0.466,8.16,22.2,0.368,15.8,21.1,0.748,9.53,33.7,13.2,6.5,3.59,10.9,19.6
226,Oklahoma ,34,20,14,0.588,14.86,11.22,,6,12,,12,5,,2,7,,78.3,74.6,,40,26.1,55.7,0.468,8.47,23.2,0.365,17.7,22.2,0.795,8.44,32.1,13.4,7.79,2.29,12.1,18.5
227,Oklahoma State,35,17,18,0.486,6.89,10.18,,7,13,,13,4,,3,10,,73,76.3,,40,24.7,57.7,0.428,6.63,20,0.331,17,23.7,0.717,11.2,35.2,12.7,9.06,2.94,13.7,19.4
228,Old Dominion,35,15,20,0.429,-9.71,-4.25,,8,10,,7,9,,5,7,,67.9,71.5,,40.3,24,60.6,0.396,6.23,21.7,0.288,13.7,19.1,0.717,14.3,38.4,10.5,5.51,3.37,11.4,16.7
229,Omaha ,35,22,13,0.629,-1.61,-2.43,,13,3,,11,2,,7,9,,77.3,75.3,,40,26.9,58.6,0.459,8.23,23.1,0.356,15.3,21.3,0.722,10.3,35.8,13.3,5.91,2.34,10.8,18.3
230,Oral Roberts,30,7,23,0.233,-11.71,-0.78,,3,13,,7,7,,0,15,,73.3,78.5,,40.2,24.6,56.4,0.436,9.33,25.8,0.362,14.8,19.7,0.753,8.4,31.3,10.2,4.97,2.33,11.6,17.7
231,Oregon ,35,25,10,0.714,18,12.32,,12,8,,12,4,,7,4,,76.5,70.9,,40.4,27.1,58.9,0.46,7.74,22.5,0.344,14.7,19.4,0.757,10.2,35.8,14.3,7.17,3.71,11.3,16.3
232,Oregon State,33,20,13,0.606,8.62,2.24,,10,8,,15,3,,3,7,,76.2,69,,40.5,26.4,54.7,0.483,7.03,19.4,0.363,16.4,20.8,0.786,9.52,33.7,14.5,6.52,3.06,11,15.8
233,Pacific,33,9,24,0.273,-7.11,2.09,,4,14,,5,10,,2,13,,69.5,75.8,,40.3,24.8,57.1,0.435,6.42,21.4,0.3,13.5,18.6,0.725,10.4,35,12.8,5.7,2.85,13.1,18.5
234,Penn State,31,16,15,0.516,13.57,7.7,,6,14,,11,6,,3,8,,79.1,73.2,,40,27.7,57.8,0.479,7.16,20.9,0.343,16.6,21.9,0.756,9.39,33.7,16,8.06,4.06,12.4,16.5
235,Pennsylvania,27,8,19,0.296,-10.56,-2.74,,4,10,,5,8,,3,10,,69.6,77.4,,40.2,24.7,58.4,0.422,8.44,25.9,0.326,11.8,16.9,0.697,9.67,34.3,13.7,4.93,1.74,11.1,15.3
236,Pepperdine,35,13,22,0.371,-2.82,2.56,,4,14,,7,9,,2,11,,73.1,76.6,,40,26.4,59.4,0.444,7.03,20.6,0.341,13.4,18.7,0.716,10,35,15.9,6.09,2.74,11,15.7
237,Pittsburgh,32,17,15,0.531,13.27,8.24,,8,12,,13,4,,3,9,,75.9,70.8,,40.3,26.1,57.8,0.451,8.28,23.9,0.346,15.5,19.8,0.782,9.81,33.4,13.4,7.28,4.13,9.97,16.4
238,Portland,32,12,20,0.375,-7.29,2.17,,7,11,,9,7,,3,9,,72.9,80.4,,40.6,25.2,57.6,0.437,8.5,24.6,0.345,14.1,18.2,0.777,8.31,33.8,15.5,4.66,3.09,12.8,15.2
239,Portland State,32,19,13,0.594,-4.41,-5.27,,11,7,,13,1,,5,10,,75.6,69.6,,40.2,28.5,60.4,0.473,6.28,19.2,0.327,12.2,19.4,0.63,12.1,36.8,14.6,8.25,4.91,12.7,17.5
